日期,早晚,天氣,高溫,低溫
11月30日,白天,多雲午後短暫雷陣雨,32,24
12月1日,白天,多雲時陰短暫陣雨或雷雨,30,25
12月2日,白天,陰短暫陣雨或雷雨,26,23
12月3日,白天,多雲短暫陣雨,27,23
12月4日,白天,多雲時陰短暫陣雨,27,23
12月5日,白天,多雲時陰短暫陣雨,28,23
12月6日,白天,多雲時陰短暫陣雨,28,23
11月30日,晚上,多雲短暫陣雨或雷雨,29,25
12月1日,晚上,陰短暫陣雨或雷雨,27,23
12月2日,晚上,多雲短暫陣雨,24,23
12月3日,晚上,多雲,25,23
12月4日,晚上,多雲時陰,25,23
12月5日,晚上,多雲時晴,25,23
12月6日,晚上,晴時多雲,26,23
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,